Full Name,Date of Birth,Gender,Identity Number,Residential Address,Postal Address,Email Address,Contact Number,South African Citizenship,Refugee Status,Previous Academic Qualifications,School Attended,University/College,Household Income,Family Members' Income,Number of Dependents,Applicant's Employment Status,Employer Details,Bank Name,Branch,Account Number,Disability Status
John Doe,1995-04-15,Male,9504151234087,123 Main Street,PO Box 456,example@email.com,123-456-7890,South African Citizen,,Matric (2013),High School XYZ,University ABC,25000,35000,4,Employed,Company XYZ,First Bank,Main Street Branch,1234567890,No
Jane Smith,1998-08-23,Female,9808232345065,456 Oak Avenue,,jane@email.com,987-654-3210,South African Citizen,,Matric (2016),City High School,College DEF,18000,25000,3,Unemployed,,Second Bank,Hillside Branch,9876543210,No
David Johnson,1997-03-10,Male,9703105678098,789 Elm Road,,david@email.com,555-555-5555,South African Citizen,,Matric (2014),Suburb High School,University GHI,30000,45000,5,Employed,Company ABC,Third Bank,West End Branch,5555555555,Yes
Sarah Lee,1999-11-05,Female,9911057890123,101 Pine Street,,sarah@email.com,777-888-9999,South African Citizen,,Matric (2017),Forest High School,College JKL,20000,30000,2,Unemployed,,Fourth Bank,Central Branch,7778889999,No
Michael Brown,1996-09-20,Male,9609203456012,222 Maple Lane,,michael@email.com,111-222-3333,South African Citizen,,Matric (2015),River High School,University MNO,28000,40000,4,Employed,Company DEF,Fifth Bank,Downtown Branch,1112223333,Yes
Linda Wilson,1997-07-15,Female,9707154567011,333 Cedar Drive,,linda@email.com,999-111-2222,South African Citizen,,Matric (2014),Park High School,College PQR,22000,32000,3,Unemployed,,Sixth Bank,Eastside Branch,9991112222,No
James Kim,2000-01-30,Male,0001301234098,444 Redwood Street,,james@email.com,444-333-2222,South African Citizen,,Matric (2018),Mountain High School,University STU,26000,38000,4,Unemployed,,Seventh Bank,Westside Branch,4443332222,Yes
Emily Davis,1998-06-12,Female,9806122345019,555 Oak Avenue,PO Box 1234,emily@email.com,555-123-7890,South African Citizen,,Matric (2016),City High School,College VWX,19000,27000,2,Employed,Company GHI,Eighth Bank,South End Branch,5551237890,No
Robert Evans,1996-02-25,Male,9602255678123,666 Birch Lane,,robert@email.com,666-999-4444,South African Citizen,,Matric (2015),Hillside High School,University YZ,32000,50000,5,Unemployed,,Ninth Bank,North End Branch,6669994444,Yes
Olivia Turner,1999-12-08,Female,9912087890123,777 Willow Road,,olivia@email.com,777-555-3333,South African Citizen,,Matric (2017),Valley High School,College ZA,21000,32000,3,Employed,Company JKL,Tenth Bank,East End Branch,7775553333,No
