Full Name,Date of Birth,Gender,Identity Number,Residential Address,Postal Address,Email Address,Contact Number,Citizenship Status,Previous Academic Qualifications,School Attended,Program of Interest,Language Proficiency,Identity Document,Academic Transcripts,Application Fee Payment,Resume,Letters of Recommendation,Financial Proof,Portfolio,Medical Clearance
John Doe,1999-03-15,Male,9903151234087,123 Main Street,PO Box 456,john@email.com,123-456-7890,South African Citizen,Matric (2017),City High School,Bachelor of Science (Computer Science),,ID_9903151234087.jpg,Transcripts_9903151234087.pdf,PaymentReceipt_9903151234087.pdf,Resume_JohnDoe.pdf,Recommendation1_JohnDoe.pdf;Recommendation2_JohnDoe.pdf,BankStatements_JohnDoe.pdf,,MedicalClearance_JohnDoe.pdf
Jane Smith,1998-08-23,Female,9808232345065,456 Oak Avenue,,jane@email.com,987-654-3210,South African Citizen,Matric (2016),Suburb High School,Bachelor of Commerce (Finance),,ID_9808232345065.jpg,Transcripts_9808232345065.pdf,,Resume_JaneSmith.pdf,Recommendation1_JaneSmith.pdf;Recommendation2_JaneSmith.pdf,BankStatements_JaneSmith.pdf,ArtPortfolio_JaneSmith.pdf,
David Johnson,1997-03-10,Male,9703105678098,789 Elm Road,,david@email.com,555-555-5555,South African Citizen,Matric (2014),River High School,Bachelor of Arts (History),,ID_9703105678098.jpg,Transcripts_9703105678098.pdf,PaymentReceipt_9703105678098.pdf,Resume_DavidJohnson.pdf,Recommendation1_DavidJohnson.pdf;Recommendation2_DavidJohnson.pdf,BankStatements_DavidJohnson.pdf,,MedicalClearance_DavidJohnson.pdf
Sarah Lee,1999-11-05,Female,9911057890123,101 Pine Street,,sarah@email.com,777-888-9999,South African Citizen,Matric (2017),Forest High School,Bachelor of Business Administration (Marketing),,ID_9911057890123.jpg,Transcripts_9911057890123.pdf,,Resume_SarahLee.pdf,Recommendation1_SarahLee.pdf;Recommendation2_SarahLee.pdf,BankStatements_SarahLee.pdf,ArtPortfolio_SarahLee.pdf,
Michael Brown,1996-09-20,Male,9609203456012,222 Maple Lane,,michael@email.com,111-222-3333,South African Citizen,Matric (2015),Highland High School,Bachelor of Engineering (Mechanical),,ID_9609203456012.jpg,Transcripts_9609203456012.pdf,PaymentReceipt_9609203456012.pdf,Resume_MichaelBrown.pdf,Recommendation1_MichaelBrown.pdf;Recommendation2_MichaelBrown.pdf,BankStatements_MichaelBrown.pdf,,MedicalClearance_MichaelBrown.pdf
Linda Wilson,1997-07-15,Female,9707154567011,333 Cedar Drive,,linda@email.com,999-111-2222,South African Citizen,Matric (2014),Hillside High School,Bachelor of Arts (English Literature),,ID_9707154567011.jpg,Transcripts_9707154567011.pdf,,Resume_LindaWilson.pdf,Recommendation1_LindaWilson.pdf;Recommendation2_LindaWilson.pdf,BankStatements_LindaWilson.pdf,,MedicalClearance_LindaWilson.pdf
James Kim,2000-01-30,Male,0001301234098,444 Redwood Street,,james@email.com,444-333-2222,South African Citizen,Matric (2018),Mountain High School,Bachelor of Science (Biology),,ID_0001301234098.jpg,Transcripts_0001301234098.pdf,PaymentReceipt_0001301234098.pdf,Resume_JamesKim.pdf,Recommendation1_JamesKim.pdf;Recommendation2_JamesKim.pdf,BankStatements_JamesKim.pdf,,MedicalClearance_JamesKim.pdf
Emily Davis,1998-06-12,Female,9806122345019,555 Oak Avenue,PO Box 1234,emily@email.com,555-123-7890,South African Citizen,Matric (2016),City High School,Bachelor of Fine Arts (Painting),,ID_9806122345019.jpg,Transcripts_9806122345019.pdf,,Resume_EmilyDavis.pdf,Recommendation1_EmilyDavis.pdf;Recommendation2_EmilyDavis.pdf,BankStatements_EmilyDavis.pdf,ArtPortfolio_EmilyDavis.pdf,
Robert Evans,1996-02-25,Male,9602255678123,666 Birch Lane,,robert@email.com,666-999-4444,South African Citizen,Matric (2015),River High School,Bachelor of Commerce (Accounting),,ID_9602255678123.jpg,Transcripts_9602255678123.pdf,PaymentReceipt_9602255678123.pdf,Resume_RobertEvans.pdf,Recommendation1_RobertEvans.pdf;Recommendation2_RobertEvans.pdf,BankStatements_RobertEvans.pdf,,MedicalClearance_RobertEvans.pdf
Sophie White,2000-10-20,Female,0010203456019,999 Elm Lane,,sophie@email.com,999-888-5555,South African Citizen,Matric (2018),Forest High School,Bachelor of Arts (Psychology),,ID_0010203456019.jpg,Transcripts_0010203456019.pdf,,Resume_SophieWhite.pdf,Recommendation1_SophieWhite.pdf
Daniel Rodriguez,1998-04-18,Male,9804187890345,888 Cedar Avenue,,daniel@email.com,888-777-2222,Permanent Resident,Matric (2016),Valley High School,Bachelor of Business Administration (Finance),,ID_9804187890345.jpg,Transcripts_9804187890345.pdf,PaymentReceipt_9804187890345.pdf,Resume_DanielRodriguez.pdf,Recommendation1_DanielRodriguez.pdf
Sophia Johnson,1997-12-01,Female,9712012345123,777 Redwood Lane,,sophia@email.com,777-333-1111,South African Citizen,Matric (2015),Mountain High School,Bachelor of Science (Chemistry),,ID_9712012345123.jpg,Transcripts_9712012345123.pdf,PaymentReceipt_9712012345123.pdf,Resume_SophiaJohnson.pdf
Daniel Lee,1999-02-15,Male,9902157890456,444 Oak Drive,,daniel@email.com,444-888-7777,South African Citizen,Matric (2017),Valley High School,Bachelor of Engineering (Electrical),,ID_9902157890456.jpg,Transcripts_9902157890456.pdf,PaymentReceipt_9902157890456.pdf,Resume_DanielLee.pdf
Isabella Smith,1998-05-25,Female,9805252345098,555 Maple Road,,isabella@email.com,555-777-8888,South African Citizen,Matric (2016),River High School,Bachelor of Science (Mathematics),,ID_9805252345098.jpg,Transcripts_9805252345098.pdf,,Resume_IsabellaSmith.pdf
Ethan Wilson,1997-09-10,Male,9709105678123,666 Cedar Street,,ethan@email.com,666-333-4444,S
